airline,flight_number,departure_city,destination_city,departure_time,arrival_time,duration
KLM,KL 137,"London, UK","Barcelona, Spain",06:45,08:15,1h 30m
Lufthansa,LH 625,"London, UK","Barcelona, Spain",20:30,22:00,1h 30m
EasyJet,U2 295,"London, UK","Barcelona, Spain",13:30,15:00,1h 30m
British Airways,BA 919,"London, UK","Barcelona, Spain",18:00,19:30,1h 30m
Ryanair,FR 646,"London, UK","Madrid, Spain",14:30,16:00,1h 30m
EasyJet,U2 139,"London, UK","Madrid, Spain",21:00,22:30,1h 30m
Lufthansa,LH 294,"London, UK","Madrid, Spain",11:45,13:15,1h 30m
KLM,KL 917,"London, UK","Madrid, Spain",14:45,16:15,1h 30m
Lufthansa,LH 912,"London, UK","Lisbon, Portugal",06:45,08:15,1h 30m
KLM,KL 459,"London, UK","Lisbon, Portugal",14:00,15:30,1h 30m
Lufthansa,LH 208,"London, UK","Lisbon, Portugal",06:45,08:15,1h 30m
British Airways,BA 130,"London, UK","Lisbon, Portugal",14:15,15:45,1h 30m
Ryanair,FR 627,"London, UK","Zurich, Switzerland",21:00,22:30,1h 30m
EasyJet,U2 111,"London, UK","Zurich, Switzerland",18:15,19:45,1h 30m
EasyJet,U2 481,"London, UK","Zurich, Switzerland",14:30,16:00,1h 30m
Lufthansa,LH 233,"London, UK","Zurich, Switzerland",22:30,00:00,1h 30m
British Airways,BA 928,"London, UK","Berlin, Germany",22:45,00:45,2h 0m
British Airways,BA 569,"London, UK","Berlin, Germany",17:00,19:00,2h 0m
KLM,KL 713,"London, UK","Berlin, Germany",12:45,14:45,2h 0m
EasyJet,U2 961,"London, UK","Berlin, Germany",16:30,18:30,2h 0m
Ryanair,FR 155,"London, UK","Munich, Germany",19:00,21:00,2h 0m
KLM,KL 877,"London, UK","Munich, Germany",09:00,11:00,2h 0m
KLM,KL 514,"London, UK","Munich, Germany",21:30,23:30,2h 0m
British Airways,BA 799,"London, UK","Munich, Germany",17:30,19:30,2h 0m
Lufthansa,LH 704,"London, UK","Paris, France",11:45,12:45,1h 0m
EasyJet,U2 197,"London, UK","Paris, France",10:15,11:15,1h 0m
KLM,KL 272,"London, UK","Paris, France",22:45,23:45,1h 0m
Lufthansa,LH 866,"London, UK","Paris, France",19:45,20:45,1h 0m
KLM,KL 867,"London, UK","Istanbul, Turkey",18:30,19:30,1h 0m
Lufthansa,LH 163,"London, UK","Istanbul, Turkey",20:00,21:00,1h 0m
British Airways,BA 399,"London, UK","Istanbul, Turkey",19:00,20:00,1h 0m
Lufthansa,LH 182,"London, UK","Istanbul, Turkey",17:15,18:15,1h 0m
KLM,KL 997,"London, UK","Athens, Greece",15:45,16:45,1h 0m
Ryanair,FR 588,"London, UK","Athens, Greece",06:45,07:45,1h 0m
British Airways,BA 174,"London, UK","Athens, Greece",06:00,07:00,1h 0m
British Airways,BA 326,"London, UK","Athens, Greece",17:15,18:15,1h 0m
KLM,KL 288,"London, UK","Oslo, Norway",07:15,08:15,1h 0m
KLM,KL 700,"London, UK","Oslo, Norway",13:45,14:45,1h 0m
KLM,KL 842,"London, UK","Oslo, Norway",11:30,12:30,1h 0m
EasyJet,U2 354,"London, UK","Oslo, Norway",06:15,07:15,1h 0m
EasyJet,U2 297,"London, UK","Copenhagen, Denmark",15:15,16:15,1h 0m
KLM,KL 168,"London, UK","Copenhagen, Denmark",17:30,18:30,1h 0m
British Airways,BA 680,"London, UK","Copenhagen, Denmark",15:00,16:00,1h 0m
EasyJet,U2 800,"London, UK","Copenhagen, Denmark",18:45,19:45,1h 0m
Ryanair,FR 213,"London, UK","Budapest, Hungary",09:45,10:45,1h 0m
EasyJet,U2 957,"London, UK","Budapest, Hungary",13:00,14:00,1h 0m
KLM,KL 599,"London, UK","Budapest, Hungary",15:45,16:45,1h 0m
British Airways,BA 295,"London, UK","Budapest, Hungary",14:00,15:00,1h 0m
Lufthansa,LH 974,"London, UK","Krakow, Poland",06:00,07:00,1h 0m
EasyJet,U2 852,"London, UK","Krakow, Poland",12:15,13:15,1h 0m
EasyJet,U2 578,"London, UK","Krakow, Poland",06:00,07:00,1h 0m
Lufthansa,LH 389,"London, UK","Krakow, Poland",20:30,21:30,1h 0m
Lufthansa,LH 547,"London, UK","Vienna, Austria",16:45,17:45,1h 0m
EasyJet,U2 500,"London, UK","Vienna, Austria",17:15,18:15,1h 0m
British Airways,BA 927,"London, UK","Vienna, Austria",15:00,16:00,1h 0m
EasyJet,U2 149,"London, UK","Vienna, Austria",09:45,10:45,1h 0m
EasyJet,U2 439,"London, UK","Prague, Czech Republic",12:45,13:45,1h 0m
Lufthansa,LH 884,"London, UK","Prague, Czech Republic",13:30,14:30,1h 0m
British Airways,BA 251,"London, UK","Prague, Czech Republic",16:15,17:15,1h 0m
Lufthansa,LH 724,"London, UK","Prague, Czech Republic",16:15,17:15,1h 0m
KLM,KL 967,"Edinburgh, UK","London, UK",16:30,17:30,1h 0m
British Airways,BA 335,"Edinburgh, UK","London, UK",20:00,21:00,1h 0m
Ryanair,FR 292,"Edinburgh, UK","London, UK",13:45,14:45,1h 0m
KLM,KL 266,"Edinburgh, UK","London, UK",22:30,23:30,1h 0m
KLM,KL 508,"Edinburgh, UK","Dublin, Ireland",15:00,16:30,1h 30m
Ryanair,FR 468,"Edinburgh, UK","Dublin, Ireland",20:30,22:00,1h 30m
British Airways,BA 891,"Edinburgh, UK","Dublin, Ireland",20:45,22:15,1h 30m
Ryanair,FR 349,"Edinburgh, UK","Dublin, Ireland",18:30,20:00,1h 30m
EasyJet,U2 596,"Edinburgh, UK","Brussels, Belgium",19:45,20:45,1h 0m
Ryanair,FR 718,"Edinburgh, UK","Brussels, Belgium",14:45,15:45,1h 0m
EasyJet,U2 728,"Edinburgh, UK","Brussels, Belgium",16:15,17:15,1h 0m
EasyJet,U2 748,"Edinburgh, UK","Brussels, Belgium",19:30,20:30,1h 0m
Ryanair,FR 905,"Edinburgh, UK","Bruges, Belgium",09:15,10:15,1h 0m
Lufthansa,LH 141,"Edinburgh, UK","Bruges, Belgium",06:15,07:15,1h 0m
Ryanair,FR 100,"Edinburgh, UK","Bruges, Belgium",10:30,11:30,1h 0m
Lufthansa,LH 653,"Edinburgh, UK","Bruges, Belgium",20:30,21:30,1h 0m
Ryanair,FR 313,"Edinburgh, UK","Amsterdam, Netherlands",11:30,12:30,1h 0m
KLM,KL 229,"Edinburgh, UK","Amsterdam, Netherlands",13:30,14:30,1h 0m
KLM,KL 153,"Edinburgh, UK","Amsterdam, Netherlands",16:45,17:45,1h 0m
Ryanair,FR 828,"Edinburgh, UK","Amsterdam, Netherlands",13:45,14:45,1h 0m
EasyJet,U2 779,"Edinburgh, UK","Rome, Italy",06:30,08:30,2h 0m
Ryanair,FR 744,"Edinburgh, UK","Rome, Italy",09:30,11:30,2h 0m
Ryanair,FR 296,"Edinburgh, UK","Rome, Italy",18:15,20:15,2h 0m
British Airways,BA 959,"Edinburgh, UK","Rome, Italy",15:15,17:15,2h 0m
EasyJet,U2 311,"Edinburgh, UK","Florence, Italy",10:30,12:30,2h 0m
KLM,KL 956,"Edinburgh, UK","Florence, Italy",09:30,11:30,2h 0m
Ryanair,FR 758,"Edinburgh, UK","Florence, Italy",08:45,10:45,2h 0m
KLM,KL 773,"Edinburgh, UK","Florence, Italy",14:15,16:15,2h 0m
British Airways,BA 696,"Edinburgh, UK","Venice, Italy",08:45,10:45,2h 0m
British Airways,BA 819,"Edinburgh, UK","Venice, Italy",08:45,10:45,2h 0m
British Airways,BA 874,"Edinburgh, UK","Venice, Italy",17:45,19:45,2h 0m
KLM,KL 319,"Edinburgh, UK","Venice, Italy",11:00,13:00,2h 0m
Lufthansa,LH 878,"Edinburgh, UK","Milan, Italy",19:00,21:00,2h 0m
EasyJet,U2 681,"Edinburgh, UK","Milan, Italy",19:30,21:30,2h 0m
British Airways,BA 466,"Edinburgh, UK","Milan, Italy",19:15,21:15,2h 0m
Lufthansa,LH 763,"Edinburgh, UK","Milan, Italy",20:45,22:45,2h 0m
British Airways,BA 477,"Edinburgh, UK","Barcelona, Spain",06:15,08:15,2h 0m
British Airways,BA 745,"Edinburgh, UK","Barcelona, Spain",19:15,21:15,2h 0m
British Airways,BA 540,"Edinburgh, UK","Barcelona, Spain",15:30,17:30,2h 0m
Lufthansa,LH 706,"Edinburgh, UK","Barcelona, Spain",22:45,00:45,2h 0m
Lufthansa,LH 610,"Edinburgh, UK","Madrid, Spain",17:45,19:45,2h 0m
EasyJet,U2 450,"Edinburgh, UK","Madrid, Spain",06:15,08:15,2h 0m
EasyJet,U2 973,"Edinburgh, UK","Madrid, Spain",08:45,10:45,2h 0m
British Airways,BA 146,"Edinburgh, UK","Madrid, Spain",19:00,21:00,2h 0m
KLM,KL 115,"Edinburgh, UK","Lisbon, Portugal",16:15,18:15,2h 0m
EasyJet,U2 702,"Edinburgh, UK","Lisbon, Portugal",18:30,20:30,2h 0m
Lufthansa,LH 816,"Edinburgh, UK","Lisbon, Portugal",21:15,23:15,2h 0m
Lufthansa,LH 783,"Edinburgh, UK","Lisbon, Portugal",22:30,00:30,2h 0m
Lufthansa,LH 102,"Edinburgh, UK","Zurich, Switzerland",19:15,21:15,2h 0m
KLM,KL 362,"Edinburgh, UK","Zurich, Switzerland",09:45,11:45,2h 0m
KLM,KL 209,"Edinburgh, UK","Zurich, Switzerland",15:15,17:15,2h 0m
Lufthansa,LH 121,"Edinburgh, UK","Zurich, Switzerland",06:45,08:45,2h 0m
KLM,KL 249,"Edinburgh, UK","Berlin, Germany",14:45,18:15,3h 30m
Lufthansa,LH 761,"Edinburgh, UK","Berlin, Germany",09:15,12:45,3h 30m
Lufthansa,LH 855,"Edinburgh, UK","Berlin, Germany",12:00,15:30,3h 30m
KLM,KL 348,"Edinburgh, UK","Berlin, Germany",08:15,11:45,3h 30m
British Airways,BA 772,"Edinburgh, UK","Munich, Germany",10:00,13:00,3h 0m
KLM,KL 867,"Edinburgh, UK","Munich, Germany",06:45,09:45,3h 0m
KLM,KL 471,"Edinburgh, UK","Munich, Germany",12:00,15:00,3h 0m
Lufthansa,LH 964,"Edinburgh, UK","Munich, Germany",08:15,11:15,3h 0m
Lufthansa,LH 984,"Edinburgh, UK","Paris, France",12:00,16:00,4h 0m
Ryanair,FR 201,"Edinburgh, UK","Paris, France",12:15,16:15,4h 0m
KLM,KL 880,"Edinburgh, UK","Paris, France",21:00,01:00,4h 0m
EasyJet,U2 705,"Edinburgh, UK","Paris, France",14:15,18:15,4h 0m
Lufthansa,LH 423,"Edinburgh, UK","Istanbul, Turkey",13:30,17:30,4h 0m
Lufthansa,LH 800,"Edinburgh, UK","Istanbul, Turkey",07:45,11:45,4h 0m
EasyJet,U2 467,"Edinburgh, UK","Istanbul, Turkey",18:00,22:00,4h 0m
KLM,KL 461,"Edinburgh, UK","Istanbul, Turkey",22:30,02:30,4h 0m
Lufthansa,LH 544,"Edinburgh, UK","Athens, Greece",21:15,00:15,3h 0m
Ryanair,FR 177,"Edinburgh, UK","Athens, Greece",07:45,10:45,3h 0m
KLM,KL 805,"Edinburgh, UK","Athens, Greece",06:45,09:45,3h 0m
EasyJet,U2 552,"Edinburgh, UK","Athens, Greece",09:45,12:45,3h 0m
Lufthansa,LH 850,"Edinburgh, UK","Oslo, Norway",13:15,17:15,4h 0m
Ryanair,FR 172,"Edinburgh, UK","Oslo, Norway",17:45,21:45,4h 0m
Lufthansa,LH 954,"Edinburgh, UK","Oslo, Norway",10:15,14:15,4h 0m
Lufthansa,LH 263,"Edinburgh, UK","Oslo, Norway",07:45,11:45,4h 0m
EasyJet,U2 494,"Edinburgh, UK","Copenhagen, Denmark",17:45,21:45,4h 0m
British Airways,BA 342,"Edinburgh, UK","Copenhagen, Denmark",09:45,13:45,4h 0m
EasyJet,U2 496,"Edinburgh, UK","Copenhagen, Denmark",15:15,19:15,4h 0m
British Airways,BA 151,"Edinburgh, UK","Copenhagen, Denmark",06:45,10:45,4h 0m
Lufthansa,LH 894,"Edinburgh, UK","Budapest, Hungary",15:00,18:00,3h 0m
Ryanair,FR 648,"Edinburgh, UK","Budapest, Hungary",08:45,11:45,3h 0m
Lufthansa,LH 497,"Edinburgh, UK","Budapest, Hungary",17:45,20:45,3h 0m
EasyJet,U2 694,"Edinburgh, UK","Budapest, Hungary",12:30,15:30,3h 0m
Ryanair,FR 461,"Edinburgh, UK","Krakow, Poland",16:00,19:00,3h 0m
Ryanair,FR 727,"Edinburgh, UK","Krakow, Poland",13:00,16:00,3h 0m
Lufthansa,LH 315,"Edinburgh, UK","Krakow, Poland",06:45,09:45,3h 0m
Ryanair,FR 638,"Edinburgh, UK","Krakow, Poland",14:15,17:15,3h 0m
Ryanair,FR 360,"Edinburgh, UK","Vienna, Austria",06:30,10:00,3h 30m
KLM,KL 733,"Edinburgh, UK","Vienna, Austria",13:30,17:00,3h 30m
Ryanair,FR 151,"Edinburgh, UK","Vienna, Austria",07:15,10:45,3h 30m
British Airways,BA 957,"Edinburgh, UK","Vienna, Austria",12:30,16:00,3h 30m
Lufthansa,LH 411,"Edinburgh, UK","Prague, Czech Republic",08:45,12:15,3h 30m
EasyJet,U2 278,"Edinburgh, UK","Prague, Czech Republic",17:15,20:45,3h 30m
British Airways,BA 856,"Edinburgh, UK","Prague, Czech Republic",13:15,16:45,3h 30m
Lufthansa,LH 381,"Edinburgh, UK","Prague, Czech Republic",19:30,23:00,3h 30m
KLM,KL 134,"Dublin, Ireland","London, UK",20:00,21:00,1h 0m
KLM,KL 309,"Dublin, Ireland","London, UK",09:15,10:15,1h 0m
British Airways,BA 860,"Dublin, Ireland","London, UK",16:15,17:15,1h 0m
Ryanair,FR 912,"Dublin, Ireland","London, UK",08:15,09:15,1h 0m
British Airways,BA 777,"Dublin, Ireland","Edinburgh, UK",15:30,17:00,1h 30m
KLM,KL 229,"Dublin, Ireland","Edinburgh, UK",11:45,13:15,1h 30m
Lufthansa,LH 637,"Dublin, Ireland","Edinburgh, UK",17:00,18:30,1h 30m
EasyJet,U2 811,"Dublin, Ireland","Edinburgh, UK",21:45,23:15,1h 30m
Ryanair,FR 413,"Dublin, Ireland","Brussels, Belgium",06:30,07:30,1h 0m
Lufthansa,LH 634,"Dublin, Ireland","Brussels, Belgium",16:45,17:45,1h 0m
KLM,KL 249,"Dublin, Ireland","Brussels, Belgium",20:45,21:45,1h 0m
KLM,KL 549,"Dublin, Ireland","Brussels, Belgium",11:30,12:30,1h 0m
Lufthansa,LH 341,"Dublin, Ireland","Bruges, Belgium",21:00,22:00,1h 0m
British Airways,BA 166,"Dublin, Ireland","Bruges, Belgium",16:45,17:45,1h 0m
British Airways,BA 851,"Dublin, Ireland","Bruges, Belgium",19:45,20:45,1h 0m
British Airways,BA 755,"Dublin, Ireland","Bruges, Belgium",07:15,08:15,1h 0m
Ryanair,FR 840,"Dublin, Ireland","Amsterdam, Netherlands",08:15,09:15,1h 0m
Lufthansa,LH 543,"Dublin, Ireland","Amsterdam, Netherlands",19:00,20:00,1h 0m
Lufthansa,LH 442,"Dublin, Ireland","Amsterdam, Netherlands",16:00,17:00,1h 0m
British Airways,BA 323,"Dublin, Ireland","Amsterdam, Netherlands",18:15,19:15,1h 0m
British Airways,BA 445,"Dublin, Ireland","Rome, Italy",06:30,08:30,2h 0m
Lufthansa,LH 545,"Dublin, Ireland","Rome, Italy",22:00,00:00,2h 0m
KLM,KL 132,"Dublin, Ireland","Rome, Italy",08:00,10:00,2h 0m
KLM,KL 183,"Dublin, Ireland","Rome, Italy",19:15,21:15,2h 0m
British Airways,BA 826,"Dublin, Ireland","Florence, Italy",16:45,18:45,2h 0m
British Airways,BA 616,"Dublin, Ireland","Florence, Italy",19:15,21:15,2h 0m
EasyJet,U2 566,"Dublin, Ireland","Florence, Italy",10:15,12:15,2h 0m
KLM,KL 166,"Dublin, Ireland","Florence, Italy",07:00,09:00,2h 0m
EasyJet,U2 986,"Dublin, Ireland","Venice, Italy",15:45,17:45,2h 0m
EasyJet,U2 963,"Dublin, Ireland","Venice, Italy",22:15,00:15,2h 0m
British Airways,BA 576,"Dublin, Ireland","Venice, Italy",07:15,09:15,2h 0m
Lufthansa,LH 595,"Dublin, Ireland","Venice, Italy",07:30,09:30,2h 0m
Lufthansa,LH 280,"Dublin, Ireland","Milan, Italy",22:30,00:30,2h 0m
EasyJet,U2 926,"Dublin, Ireland","Milan, Italy",19:15,21:15,2h 0m
EasyJet,U2 855,"Dublin, Ireland","Milan, Italy",06:45,08:45,2h 0m
Ryanair,FR 897,"Dublin, Ireland","Milan, Italy",08:00,10:00,2h 0m
Ryanair,FR 627,"Dublin, Ireland","Barcelona, Spain",06:15,08:15,2h 0m
EasyJet,U2 455,"Dublin, Ireland","Barcelona, Spain",13:15,15:15,2h 0m
Lufthansa,LH 621,"Dublin, Ireland","Barcelona, Spain",13:00,15:00,2h 0m
KLM,KL 649,"Dublin, Ireland","Barcelona, Spain",17:45,19:45,2h 0m
Lufthansa,LH 538,"Dublin, Ireland","Madrid, Spain",09:30,11:30,2h 0m
EasyJet,U2 434,"Dublin, Ireland","Madrid, Spain",08:15,10:15,2h 0m
KLM,KL 953,"Dublin, Ireland","Madrid, Spain",17:45,19:45,2h 0m
EasyJet,U2 640,"Dublin, Ireland","Madrid, Spain",07:45,09:45,2h 0m
British Airways,BA 905,"Dublin, Ireland","Lisbon, Portugal",06:30,08:30,2h 0m
KLM,KL 386,"Dublin, Ireland","Lisbon, Portugal",14:45,16:45,2h 0m
Ryanair,FR 801,"Dublin, Ireland","Lisbon, Portugal",12:30,14:30,2h 0m
KLM,KL 880,"Dublin, Ireland","Lisbon, Portugal",09:45,11:45,2h 0m
EasyJet,U2 235,"Dublin, Ireland","Zurich, Switzerland",21:45,23:45,2h 0m
Lufthansa,LH 770,"Dublin, Ireland","Zurich, Switzerland",06:00,08:00,2h 0m
British Airways,BA 907,"Dublin, Ireland","Zurich, Switzerland",17:15,19:15,2h 0m
Ryanair,FR 945,"Dublin, Ireland","Zurich, Switzerland",15:00,17:00,2h 0m
Lufthansa,LH 828,"Dublin, Ireland","Berlin, Germany",15:00,19:00,4h 0m
EasyJet,U2 637,"Dublin, Ireland","Berlin, Germany",20:30,00:30,4h 0m
British Airways,BA 592,"Dublin, Ireland","Berlin, Germany",13:30,17:30,4h 0m
British Airways,BA 519,"Dublin, Ireland","Berlin, Germany",06:30,10:30,4h 0m
British Airways,BA 304,"Dublin, Ireland","Munich, Germany",17:45,21:15,3h 30m
KLM,KL 240,"Dublin, Ireland","Munich, Germany",13:30,17:00,3h 30m
EasyJet,U2 167,"Dublin, Ireland","Munich, Germany",06:30,10:00,3h 30m
EasyJet,U2 416,"Dublin, Ireland","Munich, Germany",10:00,13:30,3h 30m
British Airways,BA 651,"Dublin, Ireland","Paris, France",11:45,14:45,3h 0m
Lufthansa,LH 924,"Dublin, Ireland","Paris, France",13:45,16:45,3h 0m
British Airways,BA 542,"Dublin, Ireland","Paris, France",16:30,19:30,3h 0m
EasyJet,U2 573,"Dublin, Ireland","Paris, France",10:30,13:30,3h 0m
EasyJet,U2 151,"Dublin, Ireland","Istanbul, Turkey",11:00,14:00,3h 0m
British Airways,BA 391,"Dublin, Ireland","Istanbul, Turkey",16:30,19:30,3h 0m
British Airways,BA 139,"Dublin, Ireland","Istanbul, Turkey",17:00,20:00,3h 0m
EasyJet,U2 817,"Dublin, Ireland","Istanbul, Turkey",18:15,21:15,3h 0m
British Airways,BA 861,"Dublin, Ireland","Athens, Greece",17:00,20:30,3h 30m
KLM,KL 216,"Dublin, Ireland","Athens, Greece",10:45,14:15,3h 30m
EasyJet,U2 680,"Dublin, Ireland","Athens, Greece",07:00,10:30,3h 30m
KLM,KL 645,"Dublin, Ireland","Athens, Greece",19:30,23:00,3h 30m
KLM,KL 300,"Dublin, Ireland","Oslo, Norway",16:15,20:15,4h 0m
Ryanair,FR 449,"Dublin, Ireland","Oslo, Norway",10:00,14:00,4h 0m
Ryanair,FR 964,"Dublin, Ireland","Oslo, Norway",19:45,23:45,4h 0m
Ryanair,FR 298,"Dublin, Ireland","Oslo, Norway",19:45,23:45,4h 0m
Ryanair,FR 385,"Dublin, Ireland","Copenhagen, Denmark",22:30,02:00,3h 30m
EasyJet,U2 338,"Dublin, Ireland","Copenhagen, Denmark",22:45,02:15,3h 30m
Ryanair,FR 376,"Dublin, Ireland","Copenhagen, Denmark",12:45,16:15,3h 30m
KLM,KL 788,"Dublin, Ireland","Copenhagen, Denmark",13:00,16:30,3h 30m
Ryanair,FR 522,"Dublin, Ireland","Budapest, Hungary",15:00,18:30,3h 30m
EasyJet,U2 847,"Dublin, Ireland","Budapest, Hungary",17:00,20:30,3h 30m
KLM,KL 114,"Dublin, Ireland","Budapest, Hungary",13:30,17:00,3h 30m
Lufthansa,LH 232,"Dublin, Ireland","Budapest, Hungary",19:00,22:30,3h 30m
EasyJet,U2 119,"Dublin, Ireland","Krakow, Poland",14:15,18:15,4h 0m
British Airways,BA 239,"Dublin, Ireland","Krakow, Poland",12:00,16:00,4h 0m
KLM,KL 160,"Dublin, Ireland","Krakow, Poland",10:45,14:45,4h 0m
Lufthansa,LH 769,"Dublin, Ireland","Krakow, Poland",15:45,19:45,4h 0m
British Airways,BA 942,"Dublin, Ireland","Vienna, Austria",15:00,19:00,4h 0m
Lufthansa,LH 958,"Dublin, Ireland","Vienna, Austria",09:00,13:00,4h 0m
British Airways,BA 554,"Dublin, Ireland","Vienna, Austria",15:30,19:30,4h 0m
KLM,KL 932,"Dublin, Ireland","Vienna, Austria",14:00,18:00,4h 0m
Ryanair,FR 126,"Dublin, Ireland","Prague, Czech Republic",21:00,01:00,4h 0m
EasyJet,U2 523,"Dublin, Ireland","Prague, Czech Republic",13:45,17:45,4h 0m
Lufthansa,LH 604,"Dublin, Ireland","Prague, Czech Republic",07:45,11:45,4h 0m
EasyJet,U2 727,"Dublin, Ireland","Prague, Czech Republic",18:45,22:45,4h 0m
British Airways,BA 829,"Brussels, Belgium","London, UK",17:45,18:45,1h 0m
Ryanair,FR 790,"Brussels, Belgium","London, UK",13:45,14:45,1h 0m
Lufthansa,LH 628,"Brussels, Belgium","London, UK",18:30,19:30,1h 0m
EasyJet,U2 872,"Brussels, Belgium","London, UK",17:30,18:30,1h 0m
EasyJet,U2 900,"Brussels, Belgium","Edinburgh, UK",22:30,23:30,1h 0m
EasyJet,U2 654,"Brussels, Belgium","Edinburgh, UK",19:30,20:30,1h 0m
KLM,KL 931,"Brussels, Belgium","Edinburgh, UK",13:30,14:30,1h 0m
KLM,KL 865,"Brussels, Belgium","Edinburgh, UK",20:00,21:00,1h 0m
British Airways,BA 899,"Brussels, Belgium","Dublin, Ireland",16:00,17:00,1h 0m
KLM,KL 439,"Brussels, Belgium","Dublin, Ireland",16:45,17:45,1h 0m
Lufthansa,LH 474,"Brussels, Belgium","Dublin, Ireland",18:00,19:00,1h 0m
Ryanair,FR 118,"Brussels, Belgium","Dublin, Ireland",12:15,13:15,1h 0m
Ryanair,FR 495,"Brussels, Belgium","Bruges, Belgium",21:15,22:15,1h 0m
KLM,KL 821,"Brussels, Belgium","Bruges, Belgium",10:00,11:00,1h 0m
KLM,KL 603,"Brussels, Belgium","Bruges, Belgium",06:00,07:00,1h 0m
Lufthansa,LH 533,"Brussels, Belgium","Bruges, Belgium",09:45,10:45,1h 0m
Lufthansa,LH 857,"Brussels, Belgium","Amsterdam, Netherlands",08:45,10:15,1h 30m
British Airways,BA 402,"Brussels, Belgium","Amsterdam, Netherlands",19:00,20:30,1h 30m
Ryanair,FR 399,"Brussels, Belgium","Amsterdam, Netherlands",07:00,08:30,1h 30m
Lufthansa,LH 148,"Brussels, Belgium","Amsterdam, Netherlands",16:00,17:30,1h 30m
KLM,KL 460,"Brussels, Belgium","Rome, Italy",10:45,12:45,2h 0m
Ryanair,FR 152,"Brussels, Belgium","Rome, Italy",08:00,10:00,2h 0m
Ryanair,FR 756,"Brussels, Belgium","Rome, Italy",07:45,09:45,2h 0m
Ryanair,FR 903,"Brussels, Belgium","Rome, Italy",21:45,23:45,2h 0m
EasyJet,U2 604,"Brussels, Belgium","Florence, Italy",14:30,16:30,2h 0m
KLM,KL 649,"Brussels, Belgium","Florence, Italy",19:45,21:45,2h 0m
British Airways,BA 250,"Brussels, Belgium","Florence, Italy",08:15,10:15,2h 0m
KLM,KL 855,"Brussels, Belgium","Florence, Italy",22:30,00:30,2h 0m
Lufthansa,LH 107,"Brussels, Belgium","Venice, Italy",07:45,09:45,2h 0m
Ryanair,FR 993,"Brussels, Belgium","Venice, Italy",15:15,17:15,2h 0m
EasyJet,U2 434,"Brussels, Belgium","Venice, Italy",11:15,13:15,2h 0m
Ryanair,FR 646,"Brussels, Belgium","Venice, Italy",16:00,18:00,2h 0m
